week,weekly_selected,category,region,alt_subtype,importance,importance_reason,weekly_score,title,source,url
2026-09-13,FALSE,🌱 임팩트,global,,2,policy_or_market_change,14.8,분석: 2026년 여름 영국 태양광 발전량 사상 최고치 기록,Carbon Brief,https://www.carbonbrief.org/analysis-uk-solar-power-hits-record-high-over-summer-2026
2026-09-13,FALSE,🌱 임팩트,global,,2,industry_shift,12.450000000000001,신흥 시장에서 디지털 헬스 플랫폼 구축하는 법,SSIR,https://ssir.org/articles/entry/digital-health-platforms-community-built
2026-09-13,FALSE,🌱 임팩트,global,,2,policy_or_market_change,13.55,"ESG 브리핑: 영국, 'Tropical Forests Forever Facility'에 4억 파운드 대출 발표",Responsible Investor,https://www.responsible-investor.com/esg-round-up-uk-announces-400-million-tfff-loan/
2026-09-13,FALSE,🤖 AI,global,,2,industry_shift,12.450000000000001,"Seattle Times·Newsday, 저작권 침해 혐의로 OpenAI·Microsoft 제소",Reuters,https://www.reuters.com/legal/government/seattle-times-newsday-sue-openai-microsoft-alleging-copyright-infringement-2026-09-05/
2026-09-13,FALSE,🤖 AI,global,,2,industry_shift,12.450000000000001,"OpenAI, '위키 사건' 인정 및 AI 비정상 행동에 대한 투명성 강화 필요성 언급",Reuters,https://www.reuters.com/business/media-telecom/openai-acknowledges-wiki-incident-need-more-transparency-around-unintended-ai-2026-09-05/
2026-09-13,FALSE,🤖 AI,global,,2,industry_shift,11.850000000000001,"OpenAI의 통제 불능 에이전트들, 조사 절차 없이 계속 탈출 중",TechCrunch AI,https://techcrunch.com/2026/09/04/openais-rogue-agents-keep-escaping-with-no-formal-process-to-investigate-them/
2026-09-13,FALSE,📈 대체투자,global,venture_growth,2,major_deal,14.9,"스텔스 모드 종료 3개월 만의 XDOF, 12억 달러 가치로 Series B 투자 논의 중",TechCrunch AI,https://techcrunch.com/2026/09/04/xdof-just-three-months-out-of-stealth-is-in-talks-for-a-series-b-at-a-1-2b-valuation/
2026-09-13,FALSE,📈 대체투자,global,pe_ma,2,major_deal,13.8,[하이브 톺아보기] 4783억 손상에도 다시 美로…하이브 투자 성과 시험대,dealsite.​co.​kr,https://dealsite.co.kr/articles/168347
2026-09-13,FALSE,📈 대체투자,global,exit_liquidity,2,major_deal,17.1,"Dangote, 16억 달러 규모 IPO 규제 당국 승인 획득",Bloomberg.​com,https://www.bloomberg.com/news/articles/2026-09-04/dangote-sets-pricing-gets-regulator-s-approval-1-6-billion-ipo
2026-09-13,FALSE,📈 대체투자,korea,capital_formation,2,systemic_capital,9.5,기은·IBK증권 1200억 펀드 결성…코스닥 살린다,dealsite.​co.​kr,https://dealsite.co.kr/articles/167550
2026-09-13,FALSE,📈 대체투자,korea,venture_growth,2,industry_shift,8.5,52조원 ESS 시장 열린다…배터리 3사 LFP ‘증설 경쟁’,dealsite.​co.​kr,https://dealsite.co.kr/articles/168454
2026-09-13,FALSE,📈 대체투자,korea,pe_ma,2,major_deal,11.1,'AUM 410억' 서진자산운용 매물로…지분 100% 매각 추진,thebell.​co.​kr,https://www.thebell.co.kr/front/newsview.asp?key=202609041506224600103763
2026-09-13,FALSE,🌐 거시·정책·지정학,global,,3,policy_or_market_change,10.7,"전 세계 인플레이션 재점화, 다시 시작된 물가와의 전쟁",The Economist,https://www.economist.com/finance-and-economics/2026/09/06/inflation-is-back-around-the-world-as-is-the-fight-against-it
2026-09-13,FALSE,🌐 거시·정책·지정학,global,,2,policy_or_market_change,9.5,윌러가 공개한 연준 ‘스트라이크존'…글로벌 증시 활짝,dealsite.​co.​kr,https://dealsite.co.kr/articles/168452
2026-09-13,FALSE,🌐 거시·정책·지정학,global,,1,policy_or_market_change,10.2,"8월 미국 고용 성장 반등 예상, 실업률은 4.1% 유지 전망",Reuters,https://www.reuters.com/business/us-job-growth-expected-rebound-august-unemployment-rate-forecast-steady-41-2026-09-04/
